,date,sugar_eu,sugar_us,sugar_world
282,1983-07-01,0.38911543,0.487000558,0.2321
283,1983-08-01,0.37809233,0.49714181,0.2328
284,1983-09-01,0.377651406,0.48942564,0.2079
285,1983-10-01,0.384044804,0.483693628,0.2147
286,1983-11-01,0.373903552,0.48060716,0.1836
287,1983-12-01,0.364644148,0.473331914,0.1702
288,1984-01-01,0.356707516,0.474213762,0.1536
289,1984-02-01,0.367730616,0.482370856,0.1462
290,1984-03-01,0.38139926,0.485677786,0.1415
291,1984-04-01,0.374564938,0.485898248,0.1325
292,1984-05-01,0.361116756,0.485236862,0.1241
293,1984-06-01,0.36155768,0.486339172,0.1217
294,1984-07-01,0.356927978,0.482591318,0.1001
295,1984-08-01,0.355164282,0.478843464,0.089
296,1984-09-01,0.340393328,0.47840254,0.0904
297,1984-10-01,0.440042152,0.47509561,0.1025
298,1984-11-01,0.335763626,0.471568218,0.0961
299,1984-12-01,0.320992672,0.46517482,0.0783
300,1985-01-01,0.305119408,0.456797264,0.0796
301,1985-02-01,0.295639542,0.451506176,0.0816
302,1985-03-01,0.302914788,0.461206504,0.0844
303,1985-04-01,0.335763626,0.462308814,0.0754
304,1985-05-01,0.337527322,0.464954358,0.0622
305,1985-06-01,0.346345802,0.468922674,0.0613
306,1985-07-01,0.373242166,0.468040826,0.0708
307,1985-08-01,0.374124014,0.453931258,0.0968
308,1985-09-01,0.368832926,0.430121362,0.1129
309,1985-10-01,0.38470619,0.411823016,0.1105
310,1985-11-01,0.389335892,0.416452718,0.1208
311,1985-12-01,0.391099588,0.438498918,0.1173
312,1986-01-01,0.395288366,0.452828948,0.1067
313,1986-02-01,0.396390676,0.456797264,0.1235
314,1986-03-01,0.40675239,0.457017726,0.1533
315,1986-04-01,0.415791332,0.452828948,0.1837
316,1986-05-01,0.423066578,0.460545118,0.1691
317,1986-06-01,0.418657338,0.462088352,0.1401
318,1986-07-01,0.425050736,0.462308814,0.1224
319,1986-08-01,0.418657338,0.462088352,0.1228
320,1986-09-01,0.414689022,0.460104194,0.1032
321,1986-10-01,0.402122688,0.464733896,0.1188
322,1986-11-01,0.401020378,0.466938516,0.131
323,1986-12-01,0.40454777,0.465395282,0.1259
324,1987-01-01,0.42425134259,0.4739933,0.1431
325,1987-02-01,0.42992087365,0.479725275,0.1626
326,1987-03-01,0.44845314095,0.479725275,0.1665
327,1987-04-01,0.45920640745,0.48192994546,0.1472
328,1987-05-01,0.4696300877,0.485236825,0.1484
329,1987-06-01,0.45916133007,0.48633920228,0.142
330,1987-07-01,0.47451639938,0.48655962727,0.1345
331,1987-08-01,0.47019254568,0.48237087955,0.1238
332,1987-09-01,0.48468790704,0.48237087955,0.1283
333,1987-10-01,0.48956589287,0.47818204772,0.1466
334,1987-11-01,0.52322540371,0.47950485,0.1616
335,1987-12-01,0.5387140652,0.479725275,0.1829
336,1988-01-01,0.53147225046,0.48126858637,0.2131
337,1988-02-01,0.51768425066,0.48722098636,0.1858
338,1988-03-01,0.53953050391,0.48854378864,0.1878
339,1988-04-01,0.55288526474,0.48854378864,0.1883
340,1988-05-01,0.55142626319,0.48788242955,0.1962
341,1988-06-01,0.52520018797,0.49692136818,0.233
342,1988-07-01,0.50262588467,0.51654247273,0.3092
343,1988-08-01,0.50036520389,0.48281181364,0.2457
344,1988-09-01,0.49619466372,0.47994578409,0.224
345,1988-10-01,0.5115654176,0.479284425,0.2266
346,1988-11-01,0.53286636918,0.47840255682,0.239
347,1988-12-01,0.53867870133,0.484795975,0.2473
348,1989-01-01,0.53856663864,0.48237087955,0.2127
349,1989-02-01,0.53185894033,0.48655962727,0.2324
350,1989-03-01,0.52009012936,0.48766192045,0.2544
351,1989-04-01,0.5155990857,0.49163024318,0.2681
352,1989-05-01,0.49462687937,0.49493720682,0.2641
353,1989-06-01,0.47090125283,0.506842175,0.2787
354,1989-07-01,0.50085537828,0.51940850228,0.309
355,1989-08-01,0.49337438435,0.51962892727,0.3086
356,1989-09-01,0.48492700215,0.5180857,0.3115
357,1989-10-01,0.4902776276,0.51014905454,0.3184
358,1989-11-01,0.48564020863,0.512353725,0.3312
359,1989-12-01,0.49257779314,0.50353521136,0.2956
360,1990-01-01,0.50989553636,0.50816489318,0.313
361,1990-02-01,0.52362252192,0.50441707955,0.3229
362,1990-03-01,0.50174145145,0.51984943637,0.3386
363,1990-04-01,0.50531366516,0.52447911818,0.336
364,1990-05-01,0.51820087437,0.52006986136,0.3225
365,1990-06-01,0.52735835137,0.51389695228,0.286
366,1990-07-01,0.61888640397,0.51632196363,0.2643
367,1990-08-01,0.65019070611,0.512794575,0.241
368,1990-09-01,0.64389488549,0.51213321591,0.243
369,1990-10-01,0.66624880585,0.51345601818,0.2164
370,1990-11-01,0.6727193013,0.51036956364,0.2217
371,1990-12-01,0.66014136828,0.49559856591,0.2147
372,1991-01-01,0.66236786258,0.48060714318,0.1941
373,1991-02-01,0.67333238723,0.47222956363,0.1876
374,1991-03-01,0.62716890895,0.47245007273,0.2015
375,1991-04-01,0.59940297044,0.46782039091,0.1875
376,1991-05-01,0.59131915072,0.46914310909,0.1671
377,1991-06-01,0.56439244191,0.47178871364,0.2028
378,1991-07-01,0.57598006033,0.46840530348,0.2273
379,1991-08-01,0.58836317667,0.47993695364,0.2086
380,1991-09-01,0.60243787194,0.48620270866,0.2048
381,1991-10-01,0.60201846734,0.48011616984,0.2011
382,1991-11-01,0.62123446422,0.47962090742,0.1903
383,1991-12-01,0.63720703468,0.47348937532,0.1984
384,1992-01-01,0.63332045674,0.47124753285,0.1833
385,1992-02-01,0.6210387645,0.47576805341,0.1728
386,1992-03-01,0.60272099317,0.47083670641,0.1812
387,1992-04-01,0.6139681765,0.47099086094,0.2086
388,1992-05-01,0.63283116539,0.46355814016,0.2114
389,1992-06-01,0.64767133503,0.46048497335,0.2284
390,1992-07-01,0.67070742912,0.4649268608,0.2273
391,1992-08-01,0.67770813036,0.46925866191,0.2162
392,1992-09-01,0.65429695215,0.47511661807,0.2053
393,1992-10-01,0.59695331791,0.47679919835,0.192
