,sugar_world,sugar_world_past_ma10
78,0.0379,0.04342
79,0.0359,0.04331
80,0.0329,0.04262
81,0.0337,0.04214
82,0.0311,0.041679999999999995
83,0.0298,0.03948
84,0.0287,0.03757
85,0.037,0.03572
86,0.0346,0.0349
87,0.0452,0.03386
88,0.056,0.03468
89,0.0547,0.03649
90,0.037,0.03837
91,0.0362,0.03878
92,0.037,0.03903
93,0.0428,0.03962
94,0.0485,0.04092
95,0.047,0.0429
96,0.0467,0.0439
97,0.0461,0.04511
98,0.0417,0.0452
99,0.0388,0.043769999999999996
100,0.0414,0.04218
101,0.0384,0.04262
102,0.0359,0.04284
103,0.0337,0.042730000000000004
104,0.0304,0.04182
105,0.039,0.040010000000000004
106,0.0509,0.03921
107,0.0602,0.03963
108,0.0635,0.04104
109,0.0688,0.04322
110,0.0774,0.04622
111,0.0805,0.049819999999999996
112,0.0805,0.05403
113,0.0803,0.05849
114,0.0765,0.06315000000000001
115,0.065,0.06776
116,0.0604,0.07036
117,0.065,0.07131
118,0.067,0.07178999999999999
119,0.0622,0.07214000000000001
120,0.0791,0.07148000000000002
121,0.069,0.07165
122,0.0745,0.07050000000000001
123,0.0787,0.0699
124,0.0805,0.06974
125,0.0842,0.07014000000000001
126,0.0842,0.07206
127,0.0841,0.07444
128,0.0853,0.07635
129,0.0866,0.07818
130,0.0901,0.08062
131,0.0906,0.08172
132,0.104,0.08388
133,0.1063,0.08682999999999999
134,0.1034,0.08958999999999999
135,0.1005,0.09187999999999999
136,0.0961,0.09351000000000001
137,0.0915,0.09469999999999999
138,0.092,0.09544
139,0.0937,0.09611
140,0.0879,0.09682
141,0.0928,0.09659999999999999
142,0.0935,0.09681999999999999
143,0.1275,0.09577
144,0.1741,0.09789
145,0.181,0.10496000000000001
146,0.185,0.11300999999999999
147,0.156,0.12189999999999998
148,0.1462,0.12835000000000002
149,0.1395,0.13377
150,0.1225,0.13835
151,0.1378,0.14181
152,0.1558,0.14631
153,0.1633,0.15254
154,0.1604,0.15612
155,0.2017,0.15475
156,0.2072,0.15682000000000001
157,0.1979,0.15904000000000001
158,0.1933,0.16323000000000001
159,0.1982,0.16794
160,0.2001,0.17381
161,0.2067,0.18156999999999998
162,0.2098,0.18846000000000002
163,0.1977,0.19385999999999998
164,0.1977,0.19729999999999998
165,0.2096,0.20103
166,0.2235,0.20181999999999997
167,0.2612,0.20345
168,0.3342,0.20978
169,0.465,0.22386999999999996
170,0.4652,0.25055
171,0.4762,0.27706
172,0.521,0.30401
173,0.5183,0.33513000000000004
174,0.5518,0.36719
175,0.6753,0.40259999999999996
176,0.7529,0.44916999999999996
177,0.8708,0.5021100000000001
178,1.2377,0.56307
179,0.9894,0.65342
180,0.8445,0.70586
181,0.7491,0.74379
182,0.582,0.77108
183,0.528,0.77718
184,0.3909,0.77815
185,0.3009,0.7620600000000001
186,0.368,0.72462
187,0.4102,0.68613
188,0.3417,0.6400699999999999
189,0.3101,0.55047
190,0.2969,0.48254
191,0.2908,0.42778
192,0.3091,0.38194999999999996
193,0.2976,0.35466
194,0.3261,0.33161999999999997
195,0.3097,0.32514000000000004
196,0.3206,0.32602000000000003
197,0.2864,0.32127999999999995
198,0.2912,0.3089
199,0.2209,0.30385
200,0.1792,0.29493
201,0.177,0.28315999999999997
202,0.1737,0.27178
203,0.1664,0.25824
204,0.1839,0.24512
205,0.1894,0.23089999999999997
206,0.198,0.21886999999999998
207,0.2213,0.20661000000000002
208,0.1986,0.20010000000000003
209,0.1735,0.19084
210,0.1629,0.1861
211,0.1678,0.18446999999999997
212,0.1612,0.18355000000000002
213,0.1563,0.18230000000000002
214,0.1559,0.18129
215,0.1784,0.17848999999999998
216,0.1933,0.17739
