CAAV Dataset,,,,,,,,,,,,,,,
Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
3_F_016,Being pinched by someone,3,F,2.40,1.55,5.72,2.52,2.38,1.53,2.42,1.60,6.61,2.08,4.80,2.63
3_M_016,Being pinched by someone,3,M,3.33,1.64,5.23,2.57,3.22,1.39,3.46,1.92,5.36,2.57,5.11,2.62
1_F_017,Throwing popcorn ,1,F,3.12,2.21,5.49,2.70,3.08,2.30,3.15,2.17,5.94,2.64,5.03,2.72
1_M_017,Throwing popcorn ,1,M,2.86,1.79,6.07,2.46,2.69,1.73,3.08,1.87,6.43,2.36,5.71,2.55
3_F_017,Throwing popcorn ,3,F,2.78,2.03,5.56,2.72,2.57,1.69,3.00,2.38,6.47,2.57,4.61,2.59
3_M_017,Throwing popcorn ,3,M,3.66,2.36,6.08,2.56,3.58,2.46,3.73,2.29,5.62,2.35,6.52,2.71
1_F_018,Being locked inside a room,1,F,3.27,1.57,4.21,2.29,3.19,1.67,3.35,1.50,4.81,2.20,3.60,2.25
1_M_018,Being locked inside a room,1,M,2.90,1.46,5.63,2.24,2.53,1.24,3.35,1.60,5.61,2.47,5.64,2.02
3_F_018,Being locked inside a room,3,F,3.08,1.85,5.29,2.47,2.76,2.26,3.42,1.22,5.91,2.56,4.65,2.24
3_M_018,Being locked inside a room,3,M,3.70,1.70,5.38,2.60,3.65,1.68,3.77,1.74,5.27,2.52,5.48,2.72
1_F_019,Splling coffee on the table,1,F,3.52,2.16,4.82,2.49,3.77,2.41,3.27,1.89,5.03,2.50,4.60,2.50
1_M_019,Splling coffee on the table,1,M,3.16,1.83,5.64,2.26,3.00,1.59,3.35,2.12,5.50,2.33,5.79,2.22
3_F_019,Splling coffee on the table,3,F,3.95,1.77,5.11,2.31,3.81,1.83,4.11,1.73,5.34,2.27,4.87,2.38
3_M_019,Splling coffee on the table,3,M,3.62,1.85,5.34,2.54,3.29,1.83,3.97,1.83,4.96,2.39,5.70,2.67
1_F_020,Snorting cocaine,1,F,3.00,2.05,5.56,2.94,2.92,1.87,3.08,2.24,6.06,2.80,5.03,3.02
1_M_020,Snorting cocaine,1,M,2.28,1.67,5.48,2.72,1.81,1.15,2.85,2.03,5.39,2.54,5.57,2.94
3_F_020,Snorting cocaine,3,F,2.78,2.35,5.22,2.43,2.33,2.33,3.26,2.33,6.00,2.40,4.42,2.23
3_M_020,Snorting cocaine,3,M,1.98,1.58,5.15,2.95,1.90,1.70,2.07,1.46,5.81,2.76,4.52,3.04
1_F_021,Spitting gum,1,F,2.83,1.49,5.27,2.74,2.66,1.18,3.04,1.80,5.11,2.75,5.43,2.77
1_M_021,Spitting gum,1,M,4.10,1.58,4.81,2.39,4.14,1.71,4.05,1.47,5.63,2.39,3.97,2.11
3_F_021,Spitting gum,3,F,3.38,1.72,4.57,2.58,3.35,1.38,3.40,2.04,4.85,2.44,4.30,2.71
3_M_021,Spitting gum,3,M,2.94,1.85,4.56,2.78,2.96,1.91,2.92,1.83,5.39,2.86,3.70,2.47
1_F_022,Tearing off a butterfly's wings,1,F,2.35,1.56,5.44,2.87,1.95,1.40,2.79,1.65,6.25,2.85,4.61,2.68
1_M_022,Tearing off a butterfly's wings,1,M,2.49,1.55,4.96,2.67,2.45,1.50,2.53,1.61,6.08,2.38,3.89,2.53
3_F_022,Tearing off a butterfly's wings,3,F,2.75,1.93,4.79,2.37,2.54,1.92,2.96,1.95,5.35,2.46,4.20,2.17
3_M_022,Tearing off a butterfly's wings,3,M,2.86,1.74,5.36,2.54,2.59,1.74,3.19,1.72,6.14,2.51,4.57,2.36
1_F_023,Tearing apart a dollar bill,1,F,2.69,2.07,6.30,2.65,2.41,1.83,3.04,2.32,5.93,2.68,6.68,2.61
