,Valence,Valence_past_ma10
331,4.791666667,5.2631190476
332,4.833333333,5.132761904800001
333,5.142857143,5.1446666667
334,5.083333333,5.190952381000001
335,5.428571429,5.2367857143
336,5.04,5.284404761999999
337,4.958333333,5.228404762
338,2.24,5.1700714286
339,6.333333333,4.856571428600001
340,5.333333333,4.9660952381
341,4.375,4.9184761904
342,5.0,4.8768095236999995
343,4.5,4.8934761903999995
344,4.166666667,4.8291904761
345,5.238095238,4.7375238095
346,5.25,4.7184761904
347,5.619047619,4.7394761904
348,5.32,4.805547619
349,4.6,5.113547619
350,4.541666667,4.9402142857
351,5.55,4.8610476191
352,5.05,4.9785476191
353,4.28,4.983547619099999
354,4.6,4.9615476191
355,4.6,5.0048809524
356,4.25,4.9410714286
357,4.92,4.8410714286
358,4.857142857,4.771166666699999
359,4.583333333,4.7248809523999995
360,4.791666667,4.7232142857
361,4.88,4.7482142857
362,5.16,4.681214285699999
363,3.583333333,4.6922142856999995
364,5.72,4.6225476190000006
365,5.65,4.734547619
366,5.75,4.839547619
367,4.523809524,4.989547619
368,4.55,4.9499285714
369,6.047619048,4.9192142857
370,4.68,5.065642857199999
371,4.857142857,5.0544761905
372,5.2,5.0521904762
373,4.083333333,5.056190476199999
374,4.68,5.1061904762
375,4.44,5.0021904762
376,4.833333333,4.8811904762
377,3.476190476,4.7895238094999995
378,4.583333333,4.684761904699999
379,5.75,4.688095238000001
380,4.2,4.6583333332
381,5.15,4.6103333332
382,4.375,4.6396190475
383,5.04,4.5571190475
384,4.96,4.6527857142
385,6.041666667,4.680785714200001
386,3.35,4.8409523809
387,4.666666667,4.6926190476
388,6.904761905,4.811666666700001
389,4.4,5.0438095239
390,4.761904762,4.9088095239
391,6.35,4.9650000001
392,5.0,5.085000000100001
393,4.166666667,5.1475000001
394,5.32,5.0601666668
395,4.952380952,5.0961666668
396,4.958333333,4.9872380953
397,5.285714286,5.1480714286
398,5.0,5.2099761905
399,4.583333333,5.0195
400,5.095238095,5.0378333333
401,5.16,5.0711666666
402,5.047619048,4.9521666666
403,5.523809524,4.956928571400001
404,5.12,5.0926428570999995
405,4.65,5.0726428571
406,3.95,5.0424047619
407,4.4,4.9415714286000005
408,5.45,4.853
409,4.5,4.898000000000001
410,4.8,4.8896666667
411,4.416666667,4.8601428572000005
412,4.3,4.7858095239
413,4.875,4.7110476191
414,5.0,4.6461666667
415,3.80952381,4.6341666667
416,5.476190476,4.5501190477
417,4.64,4.7027380953
418,5.041666667,4.7267380953
419,5.44,4.685904762
420,4.92,4.779904761999999
421,4.666666667,4.791904762
422,4.75,4.816904762
423,4.666666667,4.861904762
424,4.8,4.8410714287
425,4.952380952,4.8210714287
